,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
48,48,-2.3377316471555556,2025-05-29 23:45:49.324721,2025-05-29 23:45:50.364240,0 days 00:00:01.039519,110.0,42m,1.4000000000000001,-0.5,210.0,750.0,53m,0.4,-1.5999999999999999,730.0,430.0,45m,2.4000000000000004,-2.7,410.0,900,51m,2.4000000000000004,-0.5,760,,,,,,790.0,38m,2.2,-2.6,150.0,550.0,10m,2.4000000000000004,-2.5,640.0,410,1m,1.8,-2.8,840,1000.0,18m,1.8,-0.5999999999999996,210.0,,,,,,4,COMPLETE
49,49,-1.5443860442318564,2025-05-29 23:45:50.371969,2025-05-29 23:45:51.616384,0 days 00:00:01.244415,460.0,7m,0.8,-0.2999999999999998,20.0,610.0,39m,0.9,-0.3999999999999999,620.0,270.0,14m,0.5,-1.4,500.0,640,59m,2.3000000000000003,-1.1999999999999997,810,710.0,9m,1.3,-1.5999999999999999,10.0,600.0,23m,2.8000000000000003,-1.9,310.0,1000.0,50m,0.5,-3.1,860.0,750,33m,0.7000000000000001,-3.1,970,660.0,49m,2.7,-0.3999999999999999,470.0,790.0,31m,1.0,-1.2999999999999998,900.0,5,COMPLETE
50,50,,2025-05-29 23:45:51.626871,2025-05-29 23:45:52.448319,0 days 00:00:00.821448,,,,,,530.0,29m,1.5,-0.19999999999999973,560.0,340.0,25m,0.8,-0.7999999999999998,540.0,690,39m,2.1,-1.2999999999999998,830,,,,,,650.0,58m,2.6,-1.2999999999999998,250.0,,,,,,560,34m,0.6000000000000001,-3.2,910,700.0,7m,2.5,-0.5,740.0,,,,,,3,FAIL
51,51,,2025-05-29 23:45:52.459045,2025-05-29 23:45:53.274400,0 days 00:00:00.815355,,,,,,530.0,29m,1.5,-0.19999999999999973,590.0,340.0,34m,0.7000000000000001,-0.7999999999999998,560.0,680,38m,2.0,-1.2999999999999998,830,,,,,,470.0,41m,2.6,-1.2999999999999998,240.0,,,,,,560,47m,0.6000000000000001,-3.3,10,700.0,17m,2.6,-0.19999999999999973,730.0,,,,,,3,FAIL
52,52,,2025-05-29 23:45:53.274400,2025-05-29 23:45:54.061029,0 days 00:00:00.786629,,,,,,520.0,59m,1.4000000000000001,-0.19999999999999973,590.0,340.0,40m,0.8,0.0,550.0,680,40m,2.0,-1.2999999999999998,830,,,,,,460.0,27m,3.2,-1.2999999999999998,250.0,,,,,,560,27m,0.6000000000000001,-3.3,910,700.0,9m,2.6,-0.5,540.0,,,,,,3,FAIL
53,53,,2025-05-29 23:45:54.071608,2025-05-29 23:45:54.864729,0 days 00:00:00.793121,,,,,,520.0,29m,1.4000000000000001,-0.09999999999999964,620.0,330.0,47m,0.8,-0.6999999999999997,540.0,680,31m,2.0,-1.1999999999999997,840,,,,,,640.0,44m,2.8000000000000003,-1.2999999999999998,240.0,,,,,,550,34m,0.6000000000000001,-3.3,920,600.0,58m,2.5,-0.19999999999999973,740.0,,,,,,3,FAIL
54,54,-0.7023121826567592,2025-05-29 23:45:54.876303,2025-05-29 23:45:55.595808,0 days 00:00:00.719505,,,,,,520.0,17m,1.4000000000000001,-0.19999999999999973,590.0,90.0,39m,0.8,-0.8999999999999999,550.0,680,3m,1.9000000000000001,-1.2999999999999998,830,,,,,,660.0,59m,2.8000000000000003,-1.2999999999999998,250.0,,,,,,560,42m,0.6000000000000001,-3.3,950,710.0,25m,2.6,-0.19999999999999973,540.0,,,,,,3,COMPLETE
55,55,1.0769426118179168,2025-05-29 23:45:55.602169,2025-05-29 23:45:56.633563,0 days 00:00:01.031394,320.0,9m,1.4000000000000001,0.0,570.0,710.0,29m,0.9,-0.5999999999999996,510.0,350.0,6m,0.2,-1.5999999999999999,620.0,690,58m,2.1,-0.8999999999999999,950,,,,,,450.0,32m,2.6,-0.7999999999999998,340.0,850.0,50m,1.9000000000000001,-3.1,730.0,740,43m,1.0,-3.0,890,580.0,3m,3.0,-0.3999999999999999,310.0,,,,,,4,COMPLETE
56,56,-1.3359558092293993,2025-05-29 23:45:56.641144,2025-05-29 23:45:57.718862,0 days 00:00:01.077718,320.0,38m,1.4000000000000001,-0.8999999999999999,550.0,20.0,49m,0.9,-1.0999999999999996,490.0,540.0,6m,0.2,-1.5999999999999999,640.0,560,58m,1.2000000000000002,-0.8999999999999999,960,,,,,,180.0,32m,2.6,-0.7999999999999998,540.0,830.0,48m,1.8,-3.2,700.0,900,43m,1.6,-2.7,890,550.0,9m,3.0,-0.5999999999999996,280.0,,,,,,4,COMPLETE
57,57,-1.3671872611426428,2025-05-29 23:45:57.729273,2025-05-29 23:45:58.660963,0 days 00:00:00.931690,,,,,,790.0,9m,0.4,-0.5,530.0,370.0,47m,1.1,-1.9,890.0,730,12m,2.6,-0.5,930,,,,,,900.0,44m,3.2,-0.3999999999999999,360.0,,,,,,750,38m,1.0,-2.9,310,590.0,38m,3.3000000000000003,-0.8999999999999999,320.0,,,,,,3,COMPLETE
58,58,-0.2942997655109999,2025-05-29 23:45:58.669513,2025-05-29 23:45:59.701175,0 days 00:00:01.031662,190.0,25m,1.8,-0.3999999999999999,370.0,130.0,34m,1.7000000000000002,-0.7999999999999998,330.0,670.0,52m,0.0,-2.0999999999999996,750.0,700,34m,2.1,-1.5999999999999999,870,,,,,,450.0,14m,2.5,-0.3999999999999999,500.0,710.0,50m,2.1,-2.8,600.0,820,52m,1.1,-2.2,720,600.0,45m,2.9000000000000004,-1.5999999999999999,150.0,,,,,,4,COMPLETE
59,59,1.6896626558939185,2025-05-29 23:45:59.706385,2025-05-29 23:46:00.749765,0 days 00:00:01.043380,80.0,48m,2.2,-1.9,410.0,420.0,25m,2.1,-1.2999999999999998,90.0,460.0,51m,0.7000000000000001,-1.5999999999999999,660.0,790,56m,3.2,-1.0,1000,,,,,,70.0,11m,3.3000000000000003,-1.0999999999999996,430.0,850.0,49m,2.7,-3.3,1000.0,460,6m,2.0,-2.6,20,510.0,3m,3.0,-1.1999999999999997,730.0,,,,,,4,COMPLETE
60,60,-2.601293610502441,2025-05-29 23:46:00.760323,2025-05-29 23:46:01.581558,0 days 00:00:00.821235,,,,,,290.0,22m,2.1,-1.4,110.0,440.0,51m,0.6000000000000001,-1.5999999999999999,840.0,830,31m,3.0,-1.0,340,,,,,,600.0,45m,2.6,-1.0,650.0,,,,,,640,6m,2.7,-3.5,40,520.0,58m,2.3000000000000003,-1.1999999999999997,870.0,,,,,,3,COMPLETE
61,61,,2025-05-29 23:46:01.592037,2025-05-29 23:46:02.153523,0 days 00:00:00.561486,,,,,,,,,,,290.0,30m,0.2,-1.7999999999999998,1000.0,870,39m,0.9,-0.2999999999999998,590,,,,,,80.0,11m,3.4000000000000004,-0.5999999999999996,450.0,,,,,,280,32m,2.0,-3.0,580,,,,,,,,,,,2,FAIL
62,62,-0.5674106076109855,2025-05-29 23:46:02.163602,2025-05-29 23:46:02.752275,0 days 00:00:00.588673,,,,,,,,,,,490.0,44m,0.2,-1.0,670.0,870,13m,0.9,-0.09999999999999964,590,,,,,,50.0,13m,3.4000000000000004,-0.5999999999999996,590.0,,,,,,940,44m,2.5,-2.6,480,,,,,,,,,,,2,COMPLETE
63,63,-2.32465892391986,2025-05-29 23:46:02.752275,2025-05-29 23:46:03.799049,0 days 00:00:01.046774,80.0,48m,2.6,-2.0,610.0,390.0,25m,2.2,-1.7,690.0,260.0,1m,0.4,-1.9,610.0,770,4m,3.3000000000000003,-0.7999999999999998,760,,,,,,360.0,39m,3.0,-0.09999999999999964,970.0,370.0,49m,2.7,-3.5,1000.0,790,15m,2.1,-3.0,250,440.0,3m,3.0,-2.0999999999999996,760.0,,,,,,4,COMPLETE
64,64,0.15540924994701064,2025-05-29 23:46:03.809681,2025-05-29 23:46:04.841754,0 days 00:00:01.032073,190.0,54m,2.3000000000000003,-1.4,420.0,220.0,59m,2.5,-1.1999999999999997,430.0,380.0,38m,0.8,-0.5999999999999996,580.0,960,56m,1.7000000000000002,-1.1999999999999997,950,,,,,,150.0,48m,3.3000000000000003,-1.0999999999999996,430.0,850.0,27m,3.1,-3.3,920.0,450,10m,3.5,-2.8,570,350.0,3m,3.3000000000000003,-0.5999999999999996,660.0,,,,,,4,COMPLETE
65,65,-0.7266686784645634,2025-05-29 23:46:04.841754,2025-05-29 23:46:05.862560,0 days 00:00:01.020806,80.0,22m,1.2000000000000002,-2.6,240.0,540.0,4m,1.9000000000000001,-0.7999999999999998,170.0,600.0,49m,2.1,-1.5999999999999999,480.0,650,14m,3.2,-0.8999999999999999,1000,,,,,,60.0,11m,3.2,-1.4,80.0,730.0,32m,2.9000000000000004,-2.9,720.0,300,51m,1.5,-2.4,810,250.0,48m,3.0,-1.2999999999999998,720.0,,,,,,4,COMPLETE
66,66,-0.641631315193356,2025-05-29 23:46:05.872974,2025-05-29 23:46:06.924887,0 days 00:00:01.051913,310.0,11m,1.7000000000000002,-1.7999999999999998,500.0,450.0,7m,0.8,-1.0,280.0,570.0,55m,1.8,-2.3,720.0,600,33m,0.4,-1.0999999999999996,900,,,,,,210.0,34m,2.9000000000000004,-2.0,470.0,810.0,36m,2.1,-2.4,790.0,480,57m,2.0,-1.7999999999999998,850,570.0,26m,2.0,0.0,420.0,,,,,,4,COMPLETE
67,67,-0.1382704691668198,2025-05-29 23:46:06.933269,2025-05-29 23:46:07.713696,0 days 00:00:00.780427,,,,,,730.0,52m,0.30000000000000004,-0.5999999999999996,540.0,500.0,21m,0.2,-1.7999999999999998,600.0,720,20m,2.3000000000000003,-1.5,850,,,,,,80.0,18m,3.1,-1.7,340.0,,,,,,250,55m,0.9,-2.0999999999999996,670,510.0,21m,3.2,-0.7999999999999998,610.0,,,,,,3,COMPLETE
68,68,-2.9563008834144755,2025-05-29 23:46:07.713696,2025-05-29 23:46:08.767102,0 days 00:00:01.053406,100.0,5m,1.0,-0.09999999999999964,560.0,640.0,54m,2.4000000000000004,-0.6999999999999997,10.0,200.0,8m,3.2,-2.0999999999999996,400.0,510,24m,1.3,-0.5999999999999996,120,,,,,,790.0,49m,3.5,-0.8999999999999999,860.0,630.0,35m,2.4000000000000004,-3.2,560.0,370,18m,1.3,-2.6,370,310.0,44m,2.8000000000000003,-0.19999999999999973,820.0,,,,,,4,COMPLETE
69,69,-2.35553134202676,2025-05-29 23:46:08.773206,2025-05-29 23:46:09.815740,0 days 00:00:01.042534,170.0,39m,3.0,-2.0999999999999996,390.0,570.0,32m,2.8000000000000003,-2.9,780.0,310.0,10m,2.6,-2.4,450.0,620,36m,2.0,-0.2999999999999998,960,,,,,,280.0,17m,2.4000000000000004,-1.7,160.0,920.0,26m,1.6,-2.0,460.0,540,30m,1.7000000000000002,-3.3,920,370.0,15m,1.4000000000000001,-2.8,320.0,,,,,,4,COMPLETE
70,70,0.5618406684490168,2025-05-29 23:46:09.815740,2025-05-29 23:46:10.639226,0 days 00:00:00.823486,,,,,,430.0,40m,1.0,-1.5,500.0,650.0,37m,0.7000000000000001,-3.2,320.0,780,38m,3.5,-1.4,900,,,,,,150.0,52m,1.3,-1.1999999999999997,390.0,,,,,,590,46m,2.4000000000000004,-2.8,80,460.0,7m,3.3000000000000003,-0.7999999999999998,230.0,,,,,,3,COMPLETE
71,71,-0.41431161081747525,2025-05-29 23:46:10.639226,2025-05-29 23:46:11.693096,0 days 00:00:01.053870,60.0,15m,1.3,-0.19999999999999973,120.0,230.0,23m,0.0,-0.5,920.0,450.0,34m,2.8000000000000003,-1.5,980.0,940,17m,1.8,-2.4,780,,,,,,630.0,46m,3.3000000000000003,-1.5,220.0,870.0,13m,1.2000000000000002,-1.4,920.0,400,34m,0.1,-2.4,770,700.0,14m,2.4000000000000004,-1.0999999999999996,370.0,,,,,,4,COMPLETE
72,72,-2.1721392078648747,2025-05-29 23:46:11.693096,2025-05-29 23:46:12.967468,0 days 00:00:01.274372,240.0,51m,2.0,-0.6999999999999997,250.0,340.0,44m,1.5,-1.0999999999999996,460.0,70.0,40m,0.1,-1.7999999999999998,550.0,840,37m,2.9000000000000004,-2.7,960,620.0,7m,0.7000000000000001,-3.0,350.0,480.0,2m,1.9000000000000001,-0.5999999999999996,60.0,650.0,25m,0.4,-0.7999999999999998,190.0,130,4m,0.30000000000000004,-3.0,880,610.0,35m,2.0,-0.5999999999999996,270.0,310.0,44m,2.7,-2.6,310.0,5,COMPLETE
73,73,2.0068008740471157,2025-05-29 23:46:12.976506,2025-05-29 23:46:14.222615,0 days 00:00:01.246109,930.0,20m,0.30000000000000004,-1.2999999999999998,480.0,850.0,37m,3.2,-0.8999999999999999,660.0,590.0,25m,0.30000000000000004,-0.09999999999999964,720.0,740,39m,1.1,-1.9,840,390.0,54m,0.0,-2.6,690.0,700.0,42m,2.9000000000000004,-3.3,300.0,940.0,24m,2.6,0.0,820.0,460,22m,1.0,-3.1,830,10.0,12m,2.7,-1.2999999999999998,440.0,10.0,51m,3.5,-2.9,80.0,5,COMPLETE
74,74,0.6673789730197036,2025-05-29 23:46:14.233061,2025-05-29 23:46:15.511982,0 days 00:00:01.278921,900.0,20m,0.30000000000000004,-1.7,460.0,830.0,37m,3.2,-0.8999999999999999,660.0,580.0,32m,0.30000000000000004,0.0,650.0,740,19m,1.5,-2.2,840,350.0,48m,0.0,-2.7,710.0,750.0,42m,3.1,-3.4,300.0,930.0,12m,2.6,0.0,810.0,460,8m,1.0,-3.1,810,840.0,12m,2.7,-1.4,440.0,10.0,51m,3.5,-2.9,20.0,5,COMPLETE
75,75,0.1718512691272467,2025-05-29 23:46:15.524262,2025-05-29 23:46:16.809589,0 days 00:00:01.285327,580.0,13m,1.0,-1.4,540.0,880.0,16m,3.3000000000000003,-0.6999999999999997,630.0,710.0,27m,0.5,0.0,720.0,40,39m,0.2,-1.9,1000,650.0,54m,0.7000000000000001,-2.5,660.0,720.0,12m,2.9000000000000004,-3.1,420.0,950.0,57m,2.0,-0.2999999999999998,730.0,430,5m,1.2000000000000002,-3.4,840,60.0,43m,2.9000000000000004,-1.0,380.0,160.0,28m,2.8000000000000003,-3.1,170.0,5,COMPLETE
76,76,-1.5851539969627146,2025-05-29 23:46:16.809589,2025-05-29 23:46:18.088610,0 days 00:00:01.279021,800.0,14m,0.30000000000000004,-1.0999999999999996,500.0,590.0,41m,2.9000000000000004,-0.5,560.0,540.0,25m,0.1,-0.2999999999999998,800.0,700,45m,1.1,-1.7999999999999998,910,180.0,53m,0.5,-3.2,870.0,930.0,20m,0.7000000000000001,-3.0,330.0,850.0,24m,3.2,-1.5999999999999999,940.0,510,32m,0.8,-3.1,200,200.0,23m,3.1,-1.2999999999999998,720.0,510.0,46m,3.1,-2.4,130.0,5,COMPLETE
77,77,-2.2611919244313348,2025-05-29 23:46:18.100631,2025-05-29 23:46:19.349725,0 days 00:00:01.249094,310.0,53m,0.0,-2.0,610.0,1000.0,8m,0.5,-0.19999999999999973,700.0,470.0,19m,1.7000000000000002,-2.2,510.0,120,25m,0.7000000000000001,-1.5999999999999999,420,410.0,39m,0.0,-1.4,500.0,660.0,56m,3.4000000000000004,-3.5,270.0,790.0,3m,2.3000000000000003,-0.5,820.0,570,40m,0.4,-3.3,950,70.0,28m,3.4000000000000004,-0.7999999999999998,330.0,660.0,34m,2.4000000000000004,-3.1,520.0,5,COMPLETE
78,78,,2025-05-29 23:46:19.349725,2025-05-29 23:46:20.402242,0 days 00:00:01.052517,130.0,56m,2.2,-1.5999999999999999,320.0,150.0,51m,3.4000000000000004,-1.0,750.0,640.0,46m,0.30000000000000004,-2.5,620.0,880,27m,1.6,-0.8999999999999999,700,,,,,,570.0,58m,3.0,-2.7,460.0,730.0,31m,1.3,-2.0,740.0,470,39m,1.4000000000000001,-2.5,610,420.0,52m,0.1,-1.0999999999999996,450.0,,,,,,4,FAIL
79,79,,2025-05-29 23:46:20.402242,2025-05-29 23:46:21.480341,0 days 00:00:01.078099,800.0,44m,1.6,-1.5999999999999999,320.0,700.0,57m,2.0,-0.7999999999999998,800.0,410.0,46m,0.30000000000000004,-2.5,450.0,650,54m,1.6,-2.2,700,,,,,,830.0,35m,0.2,-3.2,460.0,740.0,28m,1.1,-2.0,750.0,470,22m,1.4000000000000001,-2.7,730,410.0,33m,0.2,-0.5,450.0,,,,,,4,FAIL
80,80,-1.0369615328866135,2025-05-29 23:46:21.487008,2025-05-29 23:46:22.477607,0 days 00:00:00.990599,140.0,32m,2.2,-1.5999999999999999,320.0,710.0,36m,2.0,-1.0,760.0,410.0,50m,0.30000000000000004,-2.5,690.0,660,53m,1.6,-2.2,780,,,,,,110.0,9m,3.0,-2.7,180.0,730.0,43m,1.3,-3.0,750.0,490,22m,1.9000000000000001,-2.7,610,10.0,32m,0.0,-1.0999999999999996,880.0,,,,,,4,COMPLETE
81,81,,2025-05-29 23:46:22.491332,2025-05-29 23:46:23.701914,0 days 00:00:01.210582,460.0,59m,1.5,-1.7999999999999998,400.0,150.0,50m,2.6,-0.7999999999999998,600.0,1000.0,31m,1.2000000000000002,-2.0,620.0,570,44m,2.0,-1.0999999999999996,720,150.0,41m,1.0,-0.3999999999999999,630.0,30.0,50m,2.7,-1.0999999999999996,460.0,110.0,31m,2.5,-3.4,680.0,340,27m,1.5,-2.9,900,150.0,27m,2.7,-1.5,460.0,440.0,29m,1.6,-2.3,270.0,5,FAIL
82,82,1.0489333478199976,2025-05-29 23:46:23.710382,2025-05-29 23:46:25.030063,0 days 00:00:01.319681,790.0,44m,3.5,-1.7999999999999998,160.0,550.0,55m,3.5,-1.1999999999999997,590.0,640.0,46m,1.0,-0.5999999999999996,440.0,570,11m,2.0,-1.2999999999999998,710,780.0,22m,3.5,-0.5,620.0,570.0,50m,2.7,-1.0999999999999996,470.0,870.0,34m,0.7000000000000001,-3.3,700.0,350,27m,1.4000000000000001,-2.9,900,550.0,30m,2.7,-1.5,450.0,400.0,12m,0.0,-2.2,290.0,5,COMPLETE
83,83,-0.888613579461676,2025-05-29 23:46:25.042423,2025-05-29 23:46:26.386563,0 days 00:00:01.344140,990.0,44m,3.5,-1.7999999999999998,80.0,150.0,55m,3.1,-1.2999999999999998,600.0,600.0,46m,1.0,-0.5999999999999996,630.0,620,11m,2.0,-1.2999999999999998,700,790.0,22m,3.3000000000000003,-0.3999999999999999,620.0,570.0,35m,2.7,-1.0999999999999996,460.0,110.0,34m,0.4,-3.3,660.0,360,27m,1.4000000000000001,-2.9,1000,540.0,16m,1.1,-1.5,460.0,410.0,2m,0.0,-2.3,270.0,5,COMPLETE
84,84,-2.582721330685218,2025-05-29 23:46:26.394763,2025-05-29 23:46:27.718189,0 days 00:00:01.323426,840.0,58m,2.9000000000000004,-2.3,150.0,480.0,47m,2.6,-1.9,680.0,40.0,22m,0.5,-0.2999999999999998,740.0,570,40m,2.2,-1.0999999999999996,730,550.0,29m,1.6,-0.5999999999999996,390.0,630.0,50m,2.4000000000000004,-0.8999999999999999,510.0,890.0,31m,0.7000000000000001,-1.0,690.0,720,47m,1.5,-3.1,650,410.0,52m,2.7,-1.5999999999999999,540.0,160.0,11m,1.5,-3.2,420.0,5,COMPLETE
85,85,-1.3690112991645471,2025-05-29 23:46:27.726392,2025-05-29 23:46:29.028260,0 days 00:00:01.301868,910.0,50m,3.4000000000000004,-1.4,460.0,770.0,24m,3.5,-1.1999999999999997,520.0,190.0,35m,1.3,-0.6999999999999997,580.0,750,52m,2.4000000000000004,-0.7999999999999998,690,820.0,54m,3.5,-2.0999999999999996,740.0,830.0,41m,2.6,-1.1999999999999997,520.0,960.0,47m,0.2,-3.4,590.0,640,20m,1.2000000000000002,-3.3,520,770.0,53m,2.4000000000000004,-1.9,590.0,150.0,51m,2.2,-1.4,110.0,5,COMPLETE
86,86,-0.6399387321686905,2025-05-29 23:46:29.036965,2025-05-29 23:46:30.337376,0 days 00:00:01.300411,760.0,16m,1.8,-2.0,350.0,650.0,58m,1.2000000000000002,-1.4,640.0,630.0,20m,0.1,-0.09999999999999964,430.0,480,27m,2.0,-1.5,850,130.0,4m,2.7,-0.5,820.0,690.0,26m,2.8000000000000003,-1.4,390.0,750.0,15m,1.1,-2.8,1000.0,260,17m,1.7000000000000002,-3.4,910,690.0,30m,2.6,-1.4,520.0,610.0,41m,0.7000000000000001,-2.2,360.0,5,COMPLETE
87,87,-2.5425828121062004,2025-05-29 23:46:30.340655,2025-05-29 23:46:31.438875,0 days 00:00:01.098220,890.0,26m,1.2000000000000002,-1.5999999999999999,280.0,550.0,29m,3.3000000000000003,-0.7999999999999998,570.0,770.0,30m,0.7000000000000001,-2.0,470.0,440,54m,1.8,-1.0,530,,,,,,30.0,6m,3.2,-1.7999999999999998,360.0,810.0,54m,2.3000000000000003,-3.2,750.0,400,39m,0.8,-2.5,870,640.0,6m,2.9000000000000004,-1.1999999999999997,670.0,,,,,,4,COMPLETE
88,88,-1.3155846811682312,2025-05-29 23:46:31.438875,2025-05-29 23:46:32.561718,0 days 00:00:01.122843,50.0,31m,1.5,-0.6999999999999997,390.0,680.0,14m,3.5,-0.3999999999999999,950.0,520.0,53m,0.4,-2.0,540.0,580,22m,1.5,-2.0999999999999996,940,,,,,,740.0,7m,2.9000000000000004,-1.5,230.0,870.0,40m,0.0,-3.0,840.0,530,21m,1.0,-2.8,950,450.0,36m,3.1,-0.8999999999999999,420.0,,,,,,4,COMPLETE
89,89,0.16854218087171038,2025-05-29 23:46:32.573421,2025-05-29 23:46:33.898481,0 days 00:00:01.325060,690.0,59m,1.1,-0.19999999999999973,190.0,600.0,37m,3.2,-1.0,460.0,580.0,58m,0.9,-1.1999999999999997,500.0,520,42m,2.2,-1.7,640,990.0,22m,0.9,-1.4,460.0,570.0,33m,3.4000000000000004,-1.2999999999999998,410.0,770.0,53m,3.5,-3.4,900.0,470,50m,0.6000000000000001,-2.6,860,520.0,47m,3.5,-0.5,10.0,440.0,21m,0.6000000000000001,-1.5999999999999999,250.0,5,COMPLETE
90,90,-1.6555889071834273,2025-05-29 23:46:33.908452,2025-05-29 23:46:35.205313,0 days 00:00:01.296861,950.0,55m,1.6,-1.9,300.0,500.0,35m,3.4000000000000004,-0.5999999999999996,820.0,700.0,36m,1.6,-0.3999999999999999,360.0,550,46m,0.0,-1.2999999999999998,890,560.0,38m,0.30000000000000004,-2.5,600.0,400.0,27m,3.1,-1.0,280.0,950.0,56m,1.6,-2.7,780.0,340,59m,1.4000000000000001,-2.2,780,570.0,40m,2.9000000000000004,-1.0,500.0,250.0,12m,1.5,-2.7,210.0,5,COMPLETE
91,91,,2025-05-29 23:46:35.213824,2025-05-29 23:46:36.051233,0 days 00:00:00.837409,,,,,,450.0,51m,1.8,-0.8999999999999999,600.0,660.0,42m,1.9000000000000001,-0.19999999999999973,380.0,640,50m,1.7000000000000002,-0.8999999999999999,980,,,,,,780.0,58m,2.7,-0.7999999999999998,450.0,,,,,,440,28m,1.1,-2.3,740,400.0,37m,3.4000000000000004,-0.2999999999999998,380.0,,,,,,3,FAIL
92,92,-0.6986838656056946,2025-05-29 23:46:36.062667,2025-05-29 23:46:36.886277,0 days 00:00:00.823610,,,,,,410.0,5m,1.8,-0.09999999999999964,100.0,130.0,17m,1.2000000000000002,-0.19999999999999973,30.0,810,35m,1.3,-2.6,790,,,,,,770.0,58m,2.2,-0.7999999999999998,120.0,,,,,,310,28m,0.9,-2.9,740,410.0,22m,2.2,-0.2999999999999998,400.0,,,,,,3,COMPLETE
