,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
93,93,-1.3595234175204172,2025-05-29 23:46:36.900464,2025-05-29 23:46:37.980796,0 days 00:00:01.080332,440.0,23m,0.9,-0.5,250.0,610.0,27m,3.0,-0.6999999999999997,600.0,650.0,46m,0.0,-2.3,390.0,690,50m,1.7000000000000002,-0.8999999999999999,560,,,,,,510.0,31m,0.0,-1.0999999999999996,450.0,820.0,45m,1.9000000000000001,-1.2999999999999998,640.0,440,49m,1.2000000000000002,-2.3,830,150.0,41m,3.2,-0.6999999999999997,640.0,,,,,,4,COMPLETE
94,94,-0.10666490422217444,2025-05-29 23:46:37.992103,2025-05-29 23:46:39.078287,0 days 00:00:01.086184,610.0,28m,0.5,0.0,410.0,550.0,57m,0.6000000000000001,-0.8999999999999999,370.0,340.0,11m,1.9000000000000001,-2.6,460.0,400,44m,2.6,-1.1999999999999997,750,,,,,,840.0,55m,2.7,-2.0999999999999996,350.0,580.0,37m,0.7000000000000001,-1.5999999999999999,680.0,190,13m,0.4,-2.7,900,490.0,51m,3.4000000000000004,-1.1999999999999997,750.0,,,,,,4,COMPLETE
95,95,-1.2135708620514574,2025-05-29 23:46:39.086044,2025-05-29 23:46:40.336617,0 days 00:00:01.250573,10.0,57m,2.6,-1.0,460.0,460.0,10m,3.4000000000000004,-1.0999999999999996,500.0,730.0,6m,0.7000000000000001,-1.5,660.0,630,41m,1.9000000000000001,-1.9,830,340.0,30m,1.8,-1.9,260.0,700.0,10m,3.2,-1.5999999999999999,310.0,890.0,18m,2.9000000000000004,-2.0,760.0,580,41m,1.9000000000000001,-0.8999999999999999,290,300.0,24m,2.7,-1.7,350.0,870.0,14m,3.2,-3.2,540.0,5,COMPLETE
96,96,,2025-05-29 23:46:40.347090,2025-05-29 23:46:41.195887,0 days 00:00:00.848797,,,,,,520.0,18m,2.2,-2.4,430.0,470.0,31m,0.30000000000000004,-2.7,570.0,710,47m,0.5,-1.5,870,,,,,,130.0,42m,2.5,-0.6999999999999997,190.0,,,,,,390,29m,1.3,-3.2,970,740.0,31m,2.5,-1.0999999999999996,810.0,,,,,,3,FAIL
97,97,-1.371930739239545,2025-05-29 23:46:41.203321,2025-05-29 23:46:41.562255,0 days 00:00:00.358934,,,,,,,,,,,,,,,,670,58m,2.1,-1.5,980,,,,,,,,,,,,,,,,400,9m,1.3,0.0,970,,,,,,,,,,,1,COMPLETE
98,98,1.8028939407630287,2025-05-29 23:46:41.570760,2025-05-29 23:46:42.400496,0 days 00:00:00.829736,,,,,,330.0,31m,2.2,-2.6,420.0,520.0,31m,0.30000000000000004,-2.7,610.0,880,47m,1.4000000000000001,-3.0,450,,,,,,670.0,21m,0.2,-0.6999999999999997,250.0,,,,,,520,6m,1.1,-3.0,940,620.0,13m,2.5,-0.5,800.0,,,,,,3,COMPLETE
99,99,,2025-05-29 23:46:42.408242,2025-05-29 23:46:43.249672,0 days 00:00:00.841430,,,,,,340.0,26m,2.2,-2.2,210.0,470.0,31m,0.1,-2.8,610.0,890,23m,1.4000000000000001,-3.0,470,,,,,,670.0,21m,0.4,-1.1999999999999997,190.0,,,,,,610,43m,1.1,-3.0,880,750.0,13m,2.5,-0.5,820.0,,,,,,3,FAIL
100,100,0.44949119383695313,2025-05-29 23:46:43.249672,2025-05-29 23:46:44.023719,0 days 00:00:00.774047,,,,,,270.0,13m,2.3000000000000003,-2.7,410.0,470.0,59m,0.30000000000000004,-2.9,610.0,890,47m,1.4000000000000001,-3.0,440,,,,,,670.0,21m,0.4,-0.5999999999999996,250.0,,,,,,500,6m,1.1,-3.0,920,620.0,55m,2.4000000000000004,-0.5,810.0,,,,,,3,COMPLETE
101,101,1.977790957382538,2025-05-29 23:46:44.031793,2025-05-29 23:46:44.863276,0 days 00:00:00.831483,,,,,,320.0,46m,2.1,-3.5,220.0,530.0,31m,0.2,-3.5,530.0,780,39m,1.0,-3.3,250,,,,,,630.0,43m,1.0,-0.6999999999999997,290.0,,,,,,530,6m,1.6,-3.2,940,570.0,13m,2.6,-0.2999999999999998,780.0,,,,,,3,COMPLETE
102,102,0.1672866221705788,2025-05-29 23:46:44.871740,2025-05-29 23:46:45.708060,0 days 00:00:00.836320,,,,,,320.0,46m,2.1,-3.0,240.0,520.0,3m,0.1,-3.4,570.0,860,39m,1.0,-2.9,270,,,,,,610.0,43m,0.1,-0.6999999999999997,330.0,,,,,,530,29m,1.6,-3.2,950,570.0,13m,2.6,-0.09999999999999964,790.0,,,,,,3,COMPLETE
103,103,0.6002997977746144,2025-05-29 23:46:45.718503,2025-05-29 23:46:46.537963,0 days 00:00:00.819460,,,,,,350.0,21m,2.2,-3.5,60.0,540.0,31m,0.2,-3.3,530.0,790,29m,0.9,-3.5,200,,,,,,710.0,42m,0.2,-0.3999999999999999,400.0,,,,,,620,6m,1.4000000000000001,-3.5,980,680.0,13m,2.8000000000000003,-0.2999999999999998,850.0,,,,,,3,COMPLETE
104,104,,2025-05-29 23:46:46.545885,2025-05-29 23:46:47.145532,0 days 00:00:00.599647,,,,,,,,,,,420.0,31m,0.5,-1.7,620.0,760,39m,1.2000000000000002,-3.3,320,,,,,,650.0,24m,1.0,-0.7999999999999998,300.0,,,,,,550,43m,2.2,-3.1,930,,,,,,,,,,,2,FAIL
105,105,,2025-05-29 23:46:47.149558,2025-05-29 23:46:47.756229,0 days 00:00:00.606671,,,,,,,,,,,490.0,31m,0.4,-3.1,620.0,760,56m,1.2000000000000002,-3.1,330,,,,,,630.0,24m,1.0,-0.7999999999999998,380.0,,,,,,670,43m,0.9,-3.1,930,,,,,,,,,,,2,FAIL
106,106,-1.8246695496180263,2025-05-29 23:46:47.762086,2025-05-29 23:46:48.352929,0 days 00:00:00.590843,,,,,,,,,,,1000.0,31m,0.5,-3.1,620.0,710,23m,1.2000000000000002,-3.2,270,,,,,,660.0,11m,1.0,-0.7999999999999998,480.0,,,,,,560,43m,2.2,-3.2,930,,,,,,,,,,,2,COMPLETE
107,107,-1.790569019323248,2025-05-29 23:46:48.352929,2025-05-29 23:46:49.176226,0 days 00:00:00.823297,,,,,,310.0,50m,2.4000000000000004,-3.2,200.0,430.0,16m,0.4,-3.5,710.0,830,56m,0.5,-3.3,300,,,,,,560.0,32m,0.5,-0.5,290.0,,,,,,480,27m,1.0,-3.4,880,630.0,33m,2.5,-0.09999999999999964,690.0,,,,,,3,COMPLETE
108,108,-2.8845948745254697,2025-05-29 23:46:49.182163,2025-05-29 23:46:49.771217,0 days 00:00:00.589054,,,,,,,,,,,490.0,12m,0.30000000000000004,-1.7,570.0,920,6m,0.8,-3.5,90,,,,,,590.0,43m,1.5,-0.19999999999999973,370.0,,,,,,670,22m,1.5,-3.0,820,,,,,,,,,,,2,COMPLETE
109,109,-0.4435162977135601,2025-05-29 23:46:49.776705,2025-05-29 23:46:50.571200,0 days 00:00:00.794495,,,,,,260.0,31m,1.7000000000000002,-2.5,120.0,560.0,42m,0.0,-2.7,490.0,750,18m,1.1,-0.6999999999999997,390,,,,,,530.0,57m,0.9,-0.8999999999999999,250.0,,,,,,610,24m,1.7000000000000002,-3.1,460,590.0,50m,2.2,-0.5,920.0,,,,,,3,COMPLETE
110,110,-0.0957953223516173,2025-05-29 23:46:50.571200,2025-05-29 23:46:51.416060,0 days 00:00:00.844860,,,,,,360.0,18m,2.1,-3.3,540.0,610.0,56m,0.6000000000000001,-1.7999999999999998,430.0,760,39m,1.6,-1.0,600,,,,,,650.0,5m,0.30000000000000004,-1.0,180.0,,,,,,380,11m,1.2000000000000002,-3.2,390,520.0,46m,3.0,-0.6999999999999997,750.0,,,,,,3,COMPLETE
111,111,0.39587796377351336,2025-05-29 23:46:51.427884,2025-05-29 23:46:52.249111,0 days 00:00:00.821227,,,,,,940.0,51m,1.9000000000000001,-2.4,150.0,390.0,51m,3.4000000000000004,-0.5,520.0,800,11m,0.30000000000000004,-1.0999999999999996,490,,,,,,760.0,50m,2.5,-0.5,430.0,,,,,,520,58m,0.8,-2.9,860,660.0,57m,2.3000000000000003,-0.2999999999999998,730.0,,,,,,3,COMPLETE
112,112,-0.10693019714448339,2025-05-29 23:46:52.255868,2025-05-29 23:46:53.075634,0 days 00:00:00.819766,,,,,,520.0,12m,0.8,-0.7999999999999998,310.0,670.0,26m,0.2,-2.4,760.0,480,16m,1.4000000000000001,-3.1,370,,,,,,70.0,15m,1.5,-3.2,210.0,,,,,,430,6m,1.1,-2.8,900,490.0,17m,2.5,-1.0999999999999996,300.0,,,,,,3,COMPLETE
113,113,-1.0289472998925586,2025-05-29 23:46:53.086143,2025-05-29 23:46:54.153970,0 days 00:00:01.067827,220.0,24m,1.3,-1.5,160.0,410.0,56m,2.0,-1.9,70.0,230.0,18m,0.1,-2.2,690.0,730,26m,1.8,-3.3,870,,,,,,620.0,21m,3.0,-1.4,310.0,990.0,46m,3.3000000000000003,-2.5,500.0,460,53m,0.7000000000000001,-2.6,790,720.0,37m,2.8000000000000003,-0.8999999999999999,460.0,,,,,,4,COMPLETE
114,114,0.39118209609676957,2025-05-29 23:46:54.170380,2025-05-29 23:46:55.010208,0 days 00:00:00.839828,,,,,,630.0,19m,2.5,-2.2,570.0,640.0,25m,0.8,-2.5,590.0,600,48m,1.7000000000000002,-1.4,970,,,,,,100.0,24m,1.0,-1.1999999999999997,140.0,,,,,,490,12m,1.3,-2.7,940,550.0,3m,2.7,-0.5999999999999996,700.0,,,,,,3,COMPLETE
115,115,-1.1606802019890317,2025-05-29 23:46:55.010208,2025-05-29 23:46:56.069566,0 days 00:00:01.059358,150.0,27m,3.2,-1.2999999999999998,80.0,240.0,26m,1.0,-1.1999999999999997,630.0,580.0,48m,0.4,-2.0999999999999996,540.0,640,30m,2.0,-2.4,230,,,,,,30.0,40m,2.8000000000000003,-0.6999999999999997,270.0,910.0,7m,2.6,-3.1,960.0,540,48m,0.9,-0.19999999999999973,890,470.0,31m,3.0,-1.2999999999999998,800.0,,,,,,4,COMPLETE
116,116,-1.8813340156868192,2025-05-29 23:46:56.080036,2025-05-29 23:46:57.144837,0 days 00:00:01.064801,270.0,19m,0.7000000000000001,-2.6,600.0,170.0,25m,2.2,-0.5999999999999996,660.0,510.0,36m,2.3000000000000003,-0.7999999999999998,450.0,680,43m,1.9000000000000001,-1.1999999999999997,920,,,,,,690.0,51m,3.3000000000000003,-1.7,240.0,840.0,6m,1.0,-2.9,840.0,580,26m,0.6000000000000001,-3.1,970,540.0,27m,3.2,-0.5,840.0,,,,,,4,COMPLETE
117,117,-1.5216774357132008,2025-05-29 23:46:57.149822,2025-05-29 23:46:58.497280,0 days 00:00:01.347458,520.0,33m,1.4000000000000001,-0.2999999999999998,330.0,570.0,29m,2.8000000000000003,-0.3999999999999999,210.0,470.0,33m,0.0,-2.8,660.0,820,10m,1.5,-0.8999999999999999,800,730.0,11m,0.7000000000000001,-1.2999999999999998,950.0,190.0,1m,3.5,-1.5,200.0,780.0,42m,3.1,-3.3,890.0,660,13m,1.8,-1.5999999999999999,570,790.0,12m,2.6,-0.7999999999999998,770.0,690.0,12m,2.1,-1.9,100.0,5,COMPLETE
118,118,-0.6008828122232514,2025-05-29 23:46:58.507637,2025-05-29 23:46:59.282044,0 days 00:00:00.774407,,,,,,390.0,55m,0.8,-1.7,720.0,290.0,41m,1.0,-1.2999999999999998,490.0,540,47m,1.6,-0.7999999999999998,630,,,,,,730.0,36m,3.1,-2.4,330.0,,,,,,880,2m,1.6,-2.4,840,380.0,19m,3.1,-0.3999999999999999,630.0,,,,,,3,COMPLETE
119,119,-1.5426204578457223,2025-05-29 23:46:59.288347,2025-05-29 23:47:00.327751,0 days 00:00:01.039404,120.0,10m,1.1,-3.0,660.0,710.0,31m,3.4000000000000004,-1.0,460.0,540.0,31m,0.30000000000000004,-1.9,630.0,710,8m,0.1,-1.7,460,,,,,,260.0,29m,2.9000000000000004,-0.7999999999999998,370.0,690.0,44m,1.6,-2.6,610.0,720,31m,0.5,-3.3,920,610.0,30m,2.0,-0.6999999999999997,390.0,,,,,,4,COMPLETE
120,120,-0.019811895776577937,2025-05-29 23:47:00.337373,2025-05-29 23:47:01.676545,0 days 00:00:01.339172,340.0,12m,1.6,-1.7,280.0,320.0,38m,0.7000000000000001,-1.5,550.0,350.0,28m,0.5,-2.0,380.0,860,49m,1.1,-1.2999999999999998,980,400.0,26m,0.30000000000000004,-0.2999999999999998,670.0,480.0,42m,0.8,-1.2999999999999998,50.0,970.0,33m,1.4000000000000001,-3.5,720.0,980,36m,0.9,-3.0,340,740.0,10m,2.8000000000000003,-0.19999999999999973,110.0,570.0,18m,2.5,-2.9,320.0,5,COMPLETE
121,121,0.2422103314290897,2025-05-29 23:47:01.679230,2025-05-29 23:47:02.585152,0 days 00:00:00.905922,,,,,,670.0,46m,1.3,-3.3,330.0,590.0,5m,1.4000000000000001,-1.0,550.0,780,9m,2.3000000000000003,-3.0,10,,,,,,130.0,54m,1.8,-1.0999999999999996,170.0,,,,,,450,7m,3.0,-3.4,1000,580.0,8m,3.4000000000000004,-1.0,450.0,,,,,,3,COMPLETE
122,122,-0.25978222254059835,2025-05-29 23:47:02.595560,2025-05-29 23:47:03.922082,0 days 00:00:01.326522,360.0,9m,0.6000000000000001,-0.2999999999999998,780.0,620.0,29m,1.0,-0.19999999999999973,600.0,330.0,46m,0.4,-1.5,420.0,660,32m,2.4000000000000004,-1.0,820,10.0,58m,2.4000000000000004,-0.7999999999999998,520.0,640.0,22m,2.6,-1.2999999999999998,350.0,930.0,22m,0.8,-3.0,800.0,730,14m,0.2,-2.9,970,670.0,59m,2.5,-0.2999999999999998,900.0,910.0,1m,0.0,-0.5999999999999996,790.0,5,COMPLETE
123,123,0.9920888225709451,2025-05-29 23:47:03.925094,2025-05-29 23:47:05.253336,0 days 00:00:01.328242,410.0,6m,0.9,-0.09999999999999964,730.0,690.0,20m,0.5,-0.09999999999999964,620.0,410.0,7m,0.2,-1.7,510.0,1000,21m,2.1,-1.0999999999999996,850,120.0,1m,2.7,-0.6999999999999997,810.0,530.0,47m,2.8000000000000003,-2.8,290.0,310.0,58m,0.30000000000000004,-3.1,830.0,780,6m,0.6000000000000001,-3.2,150,650.0,39m,2.6,-1.4,510.0,820.0,36m,1.0,-1.0,580.0,5,COMPLETE
124,124,-0.6970666286718058,2025-05-29 23:47:05.262035,2025-05-29 23:47:06.650514,0 days 00:00:01.388479,410.0,6m,1.2000000000000002,-0.09999999999999964,950.0,840.0,30m,0.1,0.0,480.0,430.0,4m,0.2,-1.5999999999999999,520.0,930,54m,2.1,-1.0999999999999996,740,130.0,49m,2.8000000000000003,-0.6999999999999997,790.0,590.0,53m,2.8000000000000003,-2.9,290.0,330.0,41m,0.2,-3.1,860.0,860,6m,1.9000000000000001,-2.5,30,430.0,5m,2.4000000000000004,-1.5,250.0,810.0,26m,0.7000000000000001,-1.0,410.0,5,COMPLETE
125,125,-0.5358680887105237,2025-05-29 23:47:06.662342,2025-05-29 23:47:08.052118,0 days 00:00:01.389776,460.0,42m,0.9,-0.5999999999999996,520.0,690.0,15m,0.5,-0.2999999999999998,680.0,410.0,7m,0.1,-2.2,470.0,900,44m,1.8,-1.4,860,190.0,31m,3.5,-1.7999999999999998,640.0,530.0,47m,3.4000000000000004,-2.5,270.0,440.0,55m,0.0,-2.8,770.0,770,3m,0.5,-3.1,130,640.0,3m,2.6,-1.2999999999999998,480.0,700.0,24m,0.4,-1.7,480.0,5,COMPLETE
126,126,-2.9498168862233722,2025-05-29 23:47:08.052118,2025-05-29 23:47:09.423180,0 days 00:00:01.371062,270.0,3m,0.9,0.0,750.0,750.0,20m,0.4,-0.5,620.0,460.0,13m,2.9000000000000004,-1.7999999999999998,600.0,1000,55m,2.0,-3.4,670,90.0,1m,3.2,-0.19999999999999973,770.0,680.0,4m,3.1,-3.3,760.0,350.0,20m,0.30000000000000004,-3.4,700.0,550,28m,0.7000000000000001,-3.3,60,560.0,39m,2.9000000000000004,-1.5999999999999999,430.0,240.0,36m,1.5,-0.09999999999999964,560.0,5,COMPLETE
127,127,-0.1849696788431716,2025-05-29 23:47:09.428137,2025-05-29 23:47:10.750272,0 days 00:00:01.322135,50.0,36m,0.30000000000000004,-2.2,850.0,200.0,20m,0.30000000000000004,-0.09999999999999964,750.0,500.0,51m,0.2,-2.3,560.0,850,42m,2.3000000000000003,-0.5999999999999996,940,250.0,51m,1.8,-1.1999999999999997,880.0,50.0,47m,3.0,-1.7999999999999998,450.0,160.0,50m,0.5,-3.2,830.0,420,35m,0.4,-3.5,150,510.0,2m,2.7,-1.4,350.0,830.0,29m,1.9000000000000001,-3.3,610.0,5,COMPLETE
128,128,-3.129941749626121,2025-05-29 23:47:10.761174,2025-05-29 23:47:11.884865,0 days 00:00:01.123691,210.0,46m,1.3,-0.3999999999999999,210.0,660.0,48m,3.2,-0.8999999999999999,650.0,620.0,24m,0.6000000000000001,-1.7,440.0,960,21m,2.2,-1.1999999999999997,880,,,,,,780.0,33m,2.7,-2.9,230.0,10.0,49m,2.5,-2.9,730.0,500,25m,0.8,-2.8,240,590.0,14m,2.1,-1.0999999999999996,560.0,,,,,,4,COMPLETE
129,129,-1.1004500667619472,2025-05-29 23:47:11.894337,2025-05-29 23:47:13.031743,0 days 00:00:01.137406,370.0,48m,2.0,-0.7999999999999998,350.0,530.0,43m,1.6,-0.6999999999999997,590.0,550.0,43m,0.30000000000000004,-2.0999999999999996,480.0,880,21m,2.1,-1.0,770,,,,,,470.0,3m,2.5,-2.7,410.0,280.0,38m,2.1,-1.7999999999999998,60.0,470,6m,1.0,-3.2,870,130.0,39m,3.0,-0.8999999999999999,510.0,,,,,,4,COMPLETE
130,130,-0.2665923114894594,2025-05-29 23:47:13.040215,2025-05-29 23:47:14.387316,0 days 00:00:01.347101,290.0,49m,0.7000000000000001,-0.5,430.0,290.0,37m,0.6000000000000001,-1.4,520.0,370.0,9m,2.0,-1.9,330.0,730,57m,1.9000000000000001,-1.5999999999999999,710,100.0,43m,2.6,-1.7,870.0,500.0,16m,3.3000000000000003,-0.8999999999999999,100.0,530.0,28m,2.9000000000000004,-3.1,880.0,700,45m,2.0,-3.0,10,530.0,1m,0.5,-1.7999999999999998,780.0,480.0,32m,0.5,-3.4,360.0,5,COMPLETE
131,131,,2025-05-29 23:47:14.395807,2025-05-29 23:47:15.258364,0 days 00:00:00.862557,,,,,,580.0,45m,0.9,-0.2999999999999998,250.0,690.0,23m,1.3,-1.2999999999999998,510.0,980,28m,1.3,-0.8999999999999999,510,,,,,,400.0,19m,2.9000000000000004,-2.0,490.0,,,,,,800,56m,1.5,-2.8,80,490.0,42m,2.8000000000000003,-3.3,830.0,,,,,,3,FAIL
132,132,,2025-05-29 23:47:15.268551,2025-05-29 23:47:16.038575,0 days 00:00:00.770024,,,,,,780.0,11m,2.3000000000000003,-0.2999999999999998,580.0,690.0,23m,1.3,-2.7,510.0,580,28m,1.3,-0.8999999999999999,900,,,,,,810.0,30m,2.3000000000000003,-2.0,540.0,,,,,,600,41m,1.3,-1.9,200,340.0,29m,3.3000000000000003,0.0,980.0,,,,,,3,FAIL
133,133,1.3316003045169336,2025-05-29 23:47:16.049196,2025-05-29 23:47:16.818219,0 days 00:00:00.769023,,,,,,490.0,33m,1.8,-1.0999999999999996,420.0,680.0,23m,0.1,-1.2999999999999998,590.0,580,2m,0.6000000000000001,-0.8999999999999999,910,,,,,,330.0,19m,2.3000000000000003,-2.0,380.0,,,,,,800,41m,1.5,-2.0,910,610.0,41m,3.3000000000000003,-3.3,190.0,,,,,,3,COMPLETE
134,134,-1.845801122109242,2025-05-29 23:47:16.830771,2025-05-29 23:47:17.682316,0 days 00:00:00.851545,,,,,,470.0,11m,2.3000000000000003,-1.0999999999999996,390.0,690.0,23m,0.1,-1.4,590.0,500,1m,0.6000000000000001,-0.8999999999999999,900,,,,,,380.0,19m,2.3000000000000003,-1.9,380.0,,,,,,820,41m,1.5,-1.9,910,610.0,41m,3.1,-3.5,190.0,,,,,,3,COMPLETE
135,135,1.610034386782848,2025-05-29 23:47:17.691704,2025-05-29 23:47:18.551110,0 days 00:00:00.859406,,,,,,580.0,33m,1.8,-1.2999999999999998,440.0,660.0,23m,0.0,-1.1999999999999997,510.0,580,2m,0.7000000000000001,-0.7999999999999998,930,,,,,,160.0,30m,2.9000000000000004,-2.0,310.0,,,,,,780,41m,1.4000000000000001,-2.3,90,650.0,13m,3.3000000000000003,-2.3,990.0,,,,,,3,COMPLETE
136,136,1.9080129404718766,2025-05-29 23:47:18.557675,2025-05-29 23:47:19.416085,0 days 00:00:00.858410,,,,,,580.0,1m,1.8,-1.1999999999999997,350.0,750.0,36m,0.0,-1.1999999999999997,510.0,580,2m,0.9,-0.5999999999999996,920,,,,,,320.0,19m,2.6,-2.2,530.0,,,,,,760,43m,1.4000000000000001,-2.0999999999999996,90,690.0,4m,3.3000000000000003,-2.5,140.0,,,,,,3,COMPLETE
137,137,,2025-05-29 23:47:19.425838,2025-05-29 23:47:20.280918,0 days 00:00:00.855080,,,,,,500.0,33m,1.8,-1.2999999999999998,440.0,670.0,23m,0.0,-1.1999999999999997,630.0,630,56m,0.8,-0.3999999999999999,920,,,,,,340.0,19m,2.4000000000000004,-2.2,550.0,,,,,,800,54m,1.4000000000000001,-2.0,100,930.0,13m,3.3000000000000003,-3.3,990.0,,,,,,3,FAIL
138,138,1.1502889041470898,2025-05-29 23:47:20.287150,2025-05-29 23:47:21.139032,0 days 00:00:00.851882,,,,,,590.0,45m,1.9000000000000001,-1.2999999999999998,440.0,810.0,23m,0.0,-1.1999999999999997,90.0,580,2m,0.7000000000000001,-0.5999999999999996,920,,,,,,310.0,19m,2.3000000000000003,-2.0,550.0,,,,,,800,54m,1.4000000000000001,-2.0999999999999996,100,920.0,29m,3.5,-2.5,990.0,,,,,,3,COMPLETE
139,139,-1.2758566374796476,2025-05-29 23:47:21.147899,2025-05-29 23:47:21.992544,0 days 00:00:00.844645,,,,,,500.0,33m,1.8,-1.2999999999999998,430.0,680.0,23m,0.0,-1.1999999999999997,160.0,610,58m,0.8,-0.3999999999999999,920,,,,,,310.0,19m,2.0,-2.0,610.0,,,,,,800,41m,1.3,-2.0,90,940.0,29m,3.3000000000000003,-2.6,110.0,,,,,,3,COMPLETE
140,140,-0.31021757167084224,2025-05-29 23:47:21.996725,2025-05-29 23:47:22.853308,0 days 00:00:00.856583,,,,,,610.0,6m,1.6,-1.5999999999999999,350.0,830.0,23m,0.0,-1.2999999999999998,220.0,590,2m,0.9,-0.5999999999999996,940,,,,,,320.0,30m,2.2,-2.0999999999999996,660.0,,,,,,800,54m,1.5,-2.2,100,930.0,4m,3.5,-3.3,970.0,,,,,,3,COMPLETE
141,141,0.1235821976266485,2025-05-29 23:47:22.862019,2025-05-29 23:47:23.732705,0 days 00:00:00.870686,,,,,,430.0,45m,2.0,-1.2999999999999998,410.0,880.0,36m,0.1,-1.2999999999999998,650.0,640,2m,0.7000000000000001,-0.7999999999999998,890,,,,,,410.0,30m,2.3000000000000003,-2.2,560.0,,,,,,840,43m,1.7000000000000002,-2.0999999999999996,70,810.0,13m,3.3000000000000003,-2.3,960.0,,,,,,3,COMPLETE
142,142,1.3221053185371938,2025-05-29 23:47:23.739369,2025-05-29 23:47:24.558179,0 days 00:00:00.818810,,,,,,580.0,33m,1.9000000000000001,-1.4,290.0,820.0,29m,0.0,-1.0999999999999996,820.0,580,2m,0.5,-0.6999999999999997,1000,,,,,,290.0,19m,2.4000000000000004,-2.0,530.0,,,,,,760,56m,1.4000000000000001,-2.0,180,860.0,13m,3.3000000000000003,-2.4,990.0,,,,,,3,COMPLETE
